environment,iteration,win,rounds,average_score_final_window,average_score_total,high_score,total_cases,duration
wtm,0,False,150,3.92,3.92,5,738,0:00:02.195316
wtm,1,True,150,6.153333333333333,6.153333333333333,9,1130,0:00:02.930436
wtm,2,False,150,4.433333333333334,4.433333333333334,8,815,0:00:02.302627
wtm,3,False,150,5.74,5.74,9,1182,0:00:02.908807
wtm,4,True,150,7.3133333333333335,7.3133333333333335,9,1342,0:00:03.897420
wtm,5,True,150,7.44,7.44,9,1361,0:00:03.972318
wtm,6,True,150,6.993333333333333,6.993333333333333,9,1237,0:00:03.445640
wtm,7,True,150,7.1,7.1,9,1329,0:00:00.969786
wtm,8,True,150,6.973333333333334,6.973333333333334,9,1253,0:00:02.974668
wtm,9,True,150,7.1,7.1,9,1291,0:00:03.807776
wtm,10,True,150,6.346666666666667,6.346666666666667,9,1197,0:00:03.877626
wtm,11,True,150,7.0,7.0,9,1352,0:00:04.269429
wtm,12,True,150,6.2,6.2,9,1156,0:00:03.124783
wtm,13,True,150,6.533333333333333,6.533333333333333,9,1168,0:00:03.598852
wtm,14,False,150,5.006666666666667,5.006666666666667,6,901,0:00:02.992798
wtm,15,False,150,4.506666666666667,4.506666666666667,6,845,0:00:02.884078
wtm,16,True,150,6.92,6.92,9,1264,0:00:02.074384
wtm,17,True,150,7.5,7.5,9,1351,0:00:04.178830
wtm,18,False,150,1.52,1.52,2,378,0:00:01.868330
wtm,19,True,150,6.6466666666666665,6.6466666666666665,9,1166,0:00:03.216096
